
Linux 2.6.32-431.3.1.el6.x86_64 (localhost.localdomain) 	03/02/14 	_x86_64_	(2 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-1              0.00     0.00    0.00  351.67     0.00  2768.00     7.87     0.87    2.46   2.25  79.13
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  303.33     0.00  2768.00     9.13     0.87    2.86   2.61  79.27
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    30.00    0.00   88.67     0.00   568.00     6.41     0.25    2.81   2.76  24.47
sdb               0.00    32.67    0.00   73.67     0.00   464.00     6.30     0.15    2.07   1.99  14.63
sdc               0.00    29.00    0.00   86.67     0.00   541.33     6.25     0.21    2.48   2.48  21.47
sdd               0.00    26.33    0.00  107.00     0.00   682.67     6.38     0.39    3.60   3.50  37.40
dm-0              0.00     0.00    0.00  330.00     0.00  2256.00     6.84     0.88    2.68   2.46  81.13
dm-1              0.00     0.00    0.00  330.00     0.00  2256.00     6.84     0.89    2.68   2.46  81.23
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    2.33     0.00    18.67     8.00     0.01    3.71   3.29   0.77
dm-5              0.00     0.00    0.00  279.00     0.00  2224.00     7.97     0.87    3.12   2.91  81.17
dm-6              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    4.40   4.40   0.73

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    35.00    0.00   96.00     0.00   664.00     6.92     0.33    3.49   3.01  28.93
sdb               0.00    33.67    0.00  109.67     0.00   768.00     7.00     0.33    2.95   2.87  31.47
sdc               0.00    29.33    0.00   87.00     0.00   549.33     6.31     0.21    2.42   2.39  20.83
sdd               0.00    28.67    0.00   79.00     0.00   480.00     6.08     0.17    2.16   2.08  16.47
dm-0              0.00     0.00    0.00  355.33     0.00  2461.33     6.93     0.95    2.67   2.24  79.43
dm-1              0.00     0.00    0.00  355.33     0.00  2461.33     6.93     0.95    2.68   2.24  79.57
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00   28.33     0.00   226.67     8.00     0.07    2.40   0.08   0.23
dm-5              0.00     0.00    0.00  280.33     0.00  2232.00     7.96     0.89    3.16   2.84  79.70
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    39.33    0.00   83.33     0.00   722.67     8.67     0.21    2.49   2.40  20.00
sdb               0.00    39.67    0.00   77.00     0.00   632.00     8.21     0.16    2.06   1.96  15.10
sdc               0.00    43.67    0.00   99.67     0.00   848.00     8.51     0.33    3.35   2.81  28.03
sdd               0.00    40.00    0.00  110.00     0.00   853.33     7.76     0.39    3.52   3.46  38.07
dm-0              0.00     0.00    0.00  384.33     0.00  3056.00     7.95     0.96    2.52   2.07  79.57
dm-1              0.00     0.00    0.00  384.33     0.00  3056.00     7.95     0.96    2.52   2.07  79.60
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  336.33     0.00  3048.00     9.06     0.96    2.85   2.37  79.70
dm-6              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.01   10.67  10.67   1.07

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    38.33    0.00  103.33     0.00   901.33     8.72     0.37    3.63   3.45  35.70
sdb               0.00    38.00    0.00  100.00     0.00   824.00     8.24     0.38    3.76   3.50  35.03
sdc               0.00    36.33    0.00   73.67     0.00   584.00     7.93     0.17    2.27   2.09  15.37
sdd               2.33    38.67    0.33   72.33    21.33   600.00     8.55     0.16    2.18   2.11  15.37
dm-0              0.00     0.00    2.67  362.67    21.33  2909.33     8.02     1.00    2.74   2.21  80.70
dm-1              0.00     0.00    0.00  362.67     0.00  2909.33     8.02     0.97    2.68   2.23  80.77
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.03   11.00   1.38   0.37
dm-4              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.01   12.33   9.33   0.93
dm-5              0.00     0.00    0.00  316.67     0.00  2893.33     9.14     0.95    3.00   2.54  80.57
dm-6              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.01   12.67  11.00   1.10

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    44.00    0.00   72.33     0.00   557.33     7.71     0.14    1.94   1.94  14.03
sdb               0.00    39.67    0.00   80.00     0.00   584.00     7.30     0.22    2.80   2.69  21.50
sdc               0.00    36.00    0.00  104.67     0.00   752.00     7.18     0.40    3.82   3.71  38.83
sdd               0.00    40.00    0.00   91.33     0.00   677.33     7.42     0.25    2.78   2.76  25.23
dm-0              0.00     0.00    0.00  368.00     0.00  2570.67     6.99     0.90    2.44   2.17  79.73
dm-1              0.00     0.00    0.00  368.00     0.00  2570.67     6.99     0.90    2.45   2.17  79.80
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  322.67     0.00  2573.33     7.98     0.90    2.80   2.48  79.90
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    62.33    0.33  114.33     2.67  1144.00    10.00     0.42    3.65   3.33  38.23
sdb               0.00    59.67    0.00   94.67     0.00   909.33     9.61     0.25    2.68   2.66  25.20
sdc               0.00    65.00    0.00   81.67     0.00   874.67    10.71     0.19    2.36   2.20  17.97
sdd               0.00    58.67    0.00   92.67     0.00   877.33     9.47     0.25    2.75   2.65  24.57
dm-0              0.00     0.00    0.33  480.33     2.67  3805.33     7.92     1.31    2.72   1.67  80.07
dm-1              0.00     0.00    0.33  480.33     2.67  3805.33     7.92     1.31    2.72   1.67  80.17
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    7.00   4.00   0.80
dm-5              0.00     0.00    0.33  425.67     2.67  3749.33     8.81     1.27    2.99   1.89  80.37
dm-6              0.00     0.00    0.00    4.67     0.00    37.33     8.00     0.02    5.29   2.86   1.33

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    39.00    0.00   74.00     0.00   530.67     7.17     0.15    1.99   1.98  14.63
sdb               0.00    39.33    0.00   88.00     0.00   648.00     7.36     0.26    2.96   2.97  26.13
sdc               0.00    41.33    0.00  107.00     0.00   810.67     7.58     0.35    3.29   3.25  34.73
sdd               0.00    46.00    0.00   83.33     0.00   661.33     7.94     0.26    3.15   2.87  23.93
dm-0              0.00     0.00    0.00  378.00     0.00  2650.67     7.01     1.01    2.67   2.10  79.20
dm-1              0.00     0.00    0.00  378.00     0.00  2650.67     7.01     1.01    2.67   2.10  79.27
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.67     0.00     5.33     8.00     0.00    3.00   1.50   0.10
dm-5              0.00     0.00    0.00  322.00     0.00  2568.00     7.98     0.91    2.83   2.47  79.43
dm-6              0.00     0.00    0.00   10.00     0.00    80.00     8.00     0.10   10.07   0.50   0.50

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    39.00    0.00  107.67     0.00   930.67     8.64     0.37    3.46   3.44  37.00
sdb               0.00    44.00    0.00   75.33     0.00   669.33     8.88     0.17    2.35   2.24  16.87
sdc               0.00    35.67    0.00   72.67     0.00   581.33     8.00     0.15    2.06   2.04  14.83
sdd               0.00    35.00    0.00   94.67     0.00   720.00     7.61     0.35    3.74   3.47  32.87
dm-0              0.00     0.00    0.00  364.33     0.00  2901.33     7.96     0.92    2.52   2.25  81.87
dm-1              0.00     0.00    0.00  364.33     0.00  2901.33     7.96     0.92    2.52   2.25  81.97
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.01    6.33   6.33   0.63
dm-5              0.00     0.00    0.00  315.67     0.00  2872.00     9.10     0.91    2.88   2.59  81.87
dm-6              0.00     0.00    0.00    2.67     0.00    21.33     8.00     0.01    2.00   2.00   0.53

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    61.00    0.00   75.33     0.00   714.67     9.49     0.17    2.32   2.32  17.47
sdb               0.00    56.00    0.00  109.67     0.00   946.67     8.63     0.39    3.59   3.40  37.27
sdc               0.00    59.67    0.00  100.00     0.00   901.33     9.01     0.33    3.25   3.16  31.63
sdd               0.00    61.67    0.00   76.00     0.00   725.33     9.54     0.17    2.22   2.06  15.63
dm-0              0.00     0.00    0.00  458.00     0.00  3288.00     7.18     1.55    3.39   1.76  80.60
dm-1              0.00     0.00    0.00  458.00     0.00  3288.00     7.18     1.55    3.39   1.76  80.77
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  402.33     0.00  3210.67     7.98     1.53    3.79   2.01  80.80
dm-6              0.00     0.00    0.00    9.33     0.00    74.67     8.00     0.03    3.00   1.29   1.20

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    39.00    0.00   94.67     0.00   805.33     8.51     0.26    2.76   2.70  25.53
sdb               0.00    42.67    0.00   77.33     0.00   664.00     8.59     0.19    2.46   2.43  18.80
sdc               0.00    42.33    0.00   84.00     0.00   693.33     8.25     0.26    3.04   2.87  24.07
sdd               0.00    37.67    0.00  108.33     0.00   888.00     8.20     0.35    3.28   3.22  34.90
dm-0              0.00     0.00    0.00  382.33     0.00  3050.67     7.98     0.86    2.26   2.08  79.70
dm-1              0.00     0.00    0.00  382.33     0.00  3050.67     7.98     0.87    2.27   2.09  79.80
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  337.00     0.00  3053.33     9.06     0.87    2.57   2.37  79.93
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    61.33    0.00   89.00     0.00   816.00     9.17     0.24    2.71   2.63  23.37
sdb               0.00    62.33    0.00  108.33     0.00   981.33     9.06     0.40    3.70   3.36  36.43
sdc               0.00    57.33    0.00   88.67     0.00   784.00     8.84     0.26    2.97   2.75  24.37
sdd               0.00    64.33    0.00   75.00     0.00   730.67     9.74     0.17    2.20   2.09  15.70
dm-0              0.00     0.00    0.00  462.00     0.00  3312.00     7.17     1.20    2.60   1.70  78.40
dm-1              0.00     0.00    0.00  462.00     0.00  3312.00     7.17     1.20    2.60   1.70  78.47
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.02    9.40   8.80   1.47
dm-5              0.00     0.00    0.00  411.33     0.00  3282.67     7.98     1.18    2.86   1.91  78.53
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    5.50   5.17   1.03

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    39.33    0.00   75.67     0.00   562.67     7.44     0.20    2.71   2.65  20.07
sdb               0.00    39.67    0.00   69.33     0.00   514.67     7.42     0.16    2.25   2.25  15.63
sdc               0.00    39.67    0.00   87.67     0.00   658.67     7.51     0.28    3.20   3.14  27.53
sdd               0.00    33.33    0.00  101.33     0.00   720.00     7.11     0.38    3.74   3.68  37.33
dm-0              0.00     0.00    0.00  351.67     0.00  2456.00     6.98     0.88    2.50   2.29  80.53
dm-1              0.00     0.00    0.00  351.67     0.00  2456.00     6.98     0.88    2.50   2.29  80.53
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  307.67     0.00  2453.33     7.97     0.88    2.86   2.62  80.63
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    41.67    0.00  105.33     0.00   917.33     8.71     0.38    3.64   3.36  35.40
sdb               0.00    39.33    0.00  105.67     0.00   845.33     8.00     0.36    3.39   3.15  33.27
sdc               0.00    36.67    0.00   76.33     0.00   597.33     7.83     0.20    2.61   2.28  17.37
sdd               0.00    42.33    0.00   78.67     0.00   677.33     8.61     0.19    2.37   2.29  18.03
dm-0              0.00     0.00    0.00  381.00     0.00  3037.33     7.97     0.98    2.57   2.10  80.10
dm-1              0.00     0.00    0.00  381.00     0.00  3037.33     7.97     0.98    2.58   2.11  80.27
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.01    9.67   9.67   0.97
dm-5              0.00     0.00    0.00  332.00     0.00  3013.33     9.08     0.96    2.89   2.42  80.37
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    7.50   7.50   1.50

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    62.67    0.33   78.00     2.67   728.00     9.33     0.16    2.04   1.99  15.60
sdb               0.00    62.67    0.00   79.00     0.00   736.00     9.32     0.20    2.46   2.38  18.80
sdc               0.00    61.33    0.00  110.33     0.00   976.00     8.85     0.35    3.22   3.15  34.77
sdd               0.00    59.67    0.00  106.33     0.00   933.33     8.78     0.35    3.33   3.18  33.87
dm-0              0.00     0.00    0.33  471.33     2.67  3373.33     7.16     1.32    2.79   1.70  79.97
dm-1              0.00     0.00    0.33  471.33     2.67  3373.33     7.16     1.32    2.80   1.70  80.07
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.02   10.60   8.00   1.33
dm-5              0.00     0.00    0.33  419.33     2.67  3346.67     7.98     1.29    3.08   1.90  79.93
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    4.83   4.83   0.97

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    33.33    0.00  103.00     0.00   728.00     7.07     0.37    3.58   3.58  36.83
sdb               0.00    37.00    0.00   93.00     0.00   677.33     7.28     0.32    3.42   3.36  31.27
sdc               0.00    42.67    0.00   72.33     0.00   557.33     7.71     0.16    2.24   2.21  16.00
sdd               0.00    40.67    0.00   72.33     0.00   538.67     7.45     0.17    2.37   2.35  17.00
dm-0              0.00     0.00    0.00  358.00     0.00  2501.33     6.99     0.88    2.46   2.26  80.87
dm-1              0.00     0.00    0.00  358.00     0.00  2501.33     6.99     0.88    2.46   2.26  80.90
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  313.67     0.00  2501.33     7.97     0.88    2.82   2.58  80.97
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    60.67    0.00   75.00     0.00   840.00    11.20     0.17    2.24   2.17  16.30
sdb               0.00    59.67    0.00   85.67     0.00   877.33    10.24     0.26    3.07   2.94  25.17
sdc               0.00    58.67    0.00  107.67     0.00  1029.33     9.56     0.43    3.99   3.71  39.93
sdd               0.00    56.67    0.00   88.00     0.00   856.00     9.73     0.25    2.86   2.66  23.40
dm-0              0.00     0.00    0.00  452.00     0.00  3602.67     7.97     1.32    2.92   1.82  82.23
dm-1              0.00     0.00    0.00  452.00     0.00  3602.67     7.97     1.32    2.92   1.82  82.33
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  403.67     0.00  3576.00     8.86     1.31    3.24   2.04  82.47
dm-6              0.00     0.00    0.00    3.33     0.00    26.67     8.00     0.02    4.90   3.70   1.23

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    45.00    0.00  109.67     0.00   853.33     7.78     0.39    3.51   3.41  37.40
sdb               0.00    47.33    0.00   83.00     0.00   656.00     7.90     0.19    2.30   2.24  18.63
sdc               0.00    38.67    0.00   77.00     0.00   538.67     7.00     0.18    2.28   2.21  17.03
sdd               0.00    41.33    0.00   95.33     0.00   706.67     7.41     0.28    2.99   2.89  27.57
dm-0              0.00     0.00    0.00  392.67     0.00  2754.67     7.02     0.96    2.45   2.02  79.47
dm-1              0.00     0.00    0.00  392.67     0.00  2754.67     7.02     0.96    2.45   2.03  79.57
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.33     0.00     2.67     8.00     0.00    3.00   3.00   0.10
dm-5              0.00     0.00    0.00  336.33     0.00  2682.67     7.98     0.94    2.79   2.37  79.67
dm-6              0.00     0.00    0.00    8.33     0.00    66.67     8.00     0.03    3.00   0.12   0.10

