
Linux 2.6.32-431.3.1.el6.x86_64 (localhost.localdomain) 	03/02/14 	_x86_64_	(2 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.13     3.16    0.37    4.37    18.11    96.40    24.16     0.02    3.56   2.99   1.42
sdb               0.13     3.15    0.38    4.29    18.02    91.07    23.33     0.02    3.41   2.89   1.35
sdc               0.12     3.13    0.38    4.27    18.04    88.24    22.86     0.02    3.38   2.87   1.34
sdd               0.12     3.12    0.40    4.27    17.88    87.13    22.51     0.02    3.38   2.88   1.34
dm-0              0.00     0.00    2.03   23.98    72.04   362.84    16.72     0.10    3.88   1.51   3.94
dm-1              0.00     0.00    1.98   23.62    71.48   359.80    16.85     0.10    3.83   1.57   4.01
dm-2              0.00     0.00    0.01    0.00     0.26     0.12    22.49     0.00    2.88   0.34   0.00
dm-3              0.00     0.00    0.04    0.37     0.29     2.93     8.00     0.00    8.96   0.23   0.01
dm-4              0.00     0.00    0.84    0.50    25.53     3.98    22.04     0.01    6.12   2.88   0.39
dm-5              0.00     0.00    0.96   16.57    35.16   316.85    20.09     0.06    3.34   2.07   3.62
dm-6              0.00     0.00    0.18    4.87    10.78    38.97     9.85     0.03    6.41   0.31   0.15

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    24.00    2.33   68.00   128.00   384.00     7.28     0.17    2.45   2.41  16.93
sdb               0.00    29.67    2.00   80.67   104.00   528.00     7.65     0.29    3.60   3.27  27.00
sdc               0.33    28.33    2.00  100.33    93.33   674.67     7.50     0.39    3.87   3.63  37.17
sdd               0.00    23.33    2.67   75.00   130.67   434.67     7.28     0.24    3.04   2.88  22.37
dm-0              0.00     0.00    9.33  296.67   456.00  2021.33     8.10     0.99    3.25   2.69  82.43
dm-1              0.00     0.00    9.33  296.67   456.00  2021.33     8.10     0.99    3.26   2.70  82.53
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    9.33    0.33   456.00     2.67    47.45     0.07    7.10   6.00   5.80
dm-5              0.00     0.00    0.00  253.33     0.00  2018.67     7.97     0.93    3.67   3.25  82.43
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    36.67    0.00  114.00     0.00   925.33     8.12     0.40    3.50   3.20  36.53
sdb               0.00    34.33    0.00   83.00     0.00   613.33     7.39     0.22    2.65   2.37  19.63
sdc               0.00    34.33    0.00   80.33     0.00   581.33     7.24     0.21    2.61   2.35  18.90
sdd               0.00    44.00    0.00  106.00     0.00   872.00     8.23     0.34    3.18   2.99  31.70
dm-0              0.00     0.00    0.00  380.00     0.00  2992.00     7.87     0.94    2.46   2.09  79.47
dm-1              0.00     0.00    0.00  380.00     0.00  2992.00     7.87     0.94    2.47   2.10  79.63
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00   27.67     0.00   221.33     8.00     0.04    1.61   0.63   1.73
dm-5              0.00     0.00    0.00  299.33     0.00  2733.33     9.13     0.88    2.93   2.65  79.47
dm-6              0.00     0.00    0.00    4.67     0.00    37.33     8.00     0.02    3.36   3.29   1.53

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    32.00    0.00   76.33     0.00   472.00     6.18     0.14    1.80   1.79  13.70
sdb               0.00    28.33    0.00  106.33     0.00   682.67     6.42     0.36    3.35   3.29  34.93
sdc               0.00    31.00    0.00  105.67     0.00   701.33     6.64     0.35    3.34   3.29  34.77
sdd               0.00    34.00    0.00   74.33     0.00   472.00     6.35     0.15    2.06   2.02  15.00
dm-0              0.00     0.00    0.00  340.33     0.00  2328.00     6.84     0.85    2.50   2.32  79.10
dm-1              0.00     0.00    0.00  340.33     0.00  2328.00     6.84     0.86    2.51   2.33  79.17
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  292.33     0.00  2328.00     7.96     0.86    2.92   2.71  79.20
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    32.67    0.00  102.33     0.00   682.67     6.67     0.32    3.15   3.02  30.90
sdb               0.00    27.33    0.00   77.33     0.00   434.67     5.62     0.17    2.24   2.16  16.67
sdc               0.00    31.67    0.00   78.67     0.00   480.00     6.10     0.19    2.38   2.36  18.53
sdd               0.00    31.67    0.00  110.33     0.00   736.00     6.67     0.35    3.19   3.07  33.83
dm-0              0.00     0.00    0.00  341.67     0.00  2333.33     6.83     0.91    2.66   2.34  79.80
dm-1              0.00     0.00    0.00  341.67     0.00  2333.33     6.83     0.91    2.66   2.34  79.87
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    2.33     0.00    18.67     8.00     0.01    4.71   4.71   1.10
dm-5              0.00     0.00    0.00  290.00     0.00  2306.67     7.95     0.89    3.08   2.75  79.83
dm-6              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.01    6.00   6.00   0.60

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    31.00    0.00   84.00     0.00   640.00     7.62     0.22    2.63   2.35  19.73
sdb               0.00    32.33    0.00  110.00     0.00   816.00     7.42     0.35    3.15   3.08  33.93
sdc               0.00    31.67    0.00  103.33     0.00   754.67     7.30     0.31    2.96   2.84  29.37
sdd               0.00    29.67    0.00   81.67     0.00   557.33     6.82     0.19    2.38   2.32  18.93
dm-0              0.00     0.00    0.00  351.67     0.00  2768.00     7.87     0.86    2.46   2.25  79.00
