
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 348396 2504556 253692 1664660    0    0     0  1302 1917 4752 61  8  0 30  0	
 1  1 348384 2504184 253692 1665012   16    0    16  1366 1903 4960 63  7  0 30  0	
 1  1 348384 2504464 253708 1664336    0    0     0  1612 1892 4675 61  8  0 31  0	
 1  1 348384 2504464 253708 1664732    0    0     0  1298 1907 4890 62  8  0 31  0	
 1  1 348384 2504380 253708 1665076    0    0     0  1760 1847 4825 61  8  0 31  0	
 1  1 348384 2503780 253716 1665412    0    0     0  1220 2162 4919 59  8  1 33  0	
 1  1 348384 2504524 253716 1664772    0    0     0  1286 1970 4916 60  8  0 33  0	
 1  1 348384 2503904 253732 1665124    0    0     0  2136 1941 4783 61  9  0 30  0	
 1  1 348384 2503688 253732 1665480    0    0     0  1338 1926 5104 62  8  0 30  0	
 1  1 348384 2503216 253732 1665836    0    0     0  1292 1865 4853 61  8  0 31  0	
 4  0 348384 2503844 253748 1665240    0    0     0  1230 1928 5002 62  9  0 29  0	
 3  0 348380 2503844 253748 1665596    0    0     0  1154 1915 4889 61  8  0 31  0	
 1  1 348380 2502976 253760 1665924    0    0     0  1886 1869 4637 61  8  0 31  0	
 1  1 348380 2503472 253760 1665412    0    0     0  1144 1872 4962 62  8  0 30  0	
 4  0 348380 2503372 253776 1665656    0    0     0  1696 1890 5036 62  8  0 30  0	
 1  1 348380 2503232 253784 1666020    0    0     0  1124 1911 4871 61  9  0 30  0	
 3  0 348380 2502768 253784 1666360    0    0     0  1090 1840 4879 61  8  0 31  0	
 2  1 348380 2503264 253800 1665744    0    0     0  1168 1905 4987 61  9  0 30  0	
 3  0 348380 2503032 253800 1666116    0    0     0  1474 1897 4965 62  8  0 30  0	
 1  1 348380 2502668 253800 1666460    0    0     0  1592 1860 4743 60  9  0 31  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 348380 2502248 253808 1666812    0    0     0  1058 1853 4761 61  8  0 31  0	
