
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  1 341748 2106684 366712 1809144    0    1    14    77   36    5 17  1 81  1  0	
 3  0 341748 2094832 366716 1809208    0    0     0  1150 2039 4708 66 10  0 24  0	
 2  1 341744 2094476 366720 1809312   16    0    16  1346 2453 3875 92  8  0  0  0	
 2  1 341744 2094492 366720 1809396    0    0     0  1508 2459 3803 91 10  0  0  0	
 2  1 341744 2094204 366720 1809492    0    0     0  1168 2443 3787 92  9  0  0  0	
 2  1 341744 2094080 366720 1809576    0    0     0  1230 2455 3954 91  9  0  0  0	
 2  1 341744 2094072 366732 1809652    0    0     0  1224 2456 3912 92  9  0  0  0	
 2  1 341744 2093956 366732 1809760    0    0     0  1522 2462 3857 92  8  0  0  0	
 2  1 341744 2093956 366732 1809836    0    0     0  1216 2459 3924 92  8  0  0  0	
 2  1 341744 2093840 366744 1809932    0    0     0  1266 2475 4063 91  9  0  0  0	
 4  1 341744 2093716 366744 1810028    0    0     0  1196 2445 3808 91  9  0  0  0	
 3  1 341744 2095032 366744 1810108    0    0     0  1564 2479 3917 91  9  0  0  0	
 2  1 341744 2095056 366744 1810200    0    0     0  1154 2429 3744 91  8  0  0  0	
 2  1 341744 2095072 366744 1810280    0    0     0  1332 2474 3827 92  8  0  0  0	
 2  1 341744 2094668 366748 1810384    0    0     0  1152 2534 3895 91  9  0  0  0	
 5  0 341744 2094668 366748 1810456    0    0     0  1336 2604 3593 92  8  0  0  0	
 2  1 341744 2094280 366748 1810528    0    0     0  1096 2627 3852 92  8  0  0  0	
 2  1 341744 2094296 366752 1810620    0    0     0  1036 2539 3608 91  9  0  0  0	
 2  1 341744 2094172 366752 1810684    0    0     0  1038 2567 3463 92  8  0  0  0	
 4  0 341744 2094188 366752 1810776    0    0     0  1430 2659 3878 92  8  0  0  0	
 2  1 341744 2094064 366752 1810848    0    0     0  1006 2549 3568 92  8  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 341724 2094072 366756 1810900   16    0    16  1094 2563 3801 91  9  0  0  0	
 2  1 341712 2091892 366760 1810976   16    0    16  1386 2569 3517 92  8  0  0  0	
 2  1 341704 2091784 366760 1811076    0    0     0  1030 2598 3671 92  8  0  0  0	
 2  1 341688 2091396 366760 1811156    0    0     0  1072 2488 3753 91  9  0  0  0	
 2  1 341688 2091272 366768 1811244    0    0     0  1578 2480 3930 92  8  0  0  0	
 2  1 341688 2091512 366768 1811328    0    0     0  1236 2471 4020 91  9  0  0  0	
 2  1 341688 2091528 366768 1811428    0    0     0  1148 2432 3737 91  9  0  0  0	
 2  1 341688 2091404 366768 1811508    0    0     0  1502 2444 3683 91  9  0  0  0	
 2  1 341688 2091264 366772 1811600    0    0     0  1234 2464 3992 92  9  0  0  0	
 2  1 341688 2091264 366772 1811684    0    0     0  1272 2465 4048 92  8  0  0  0	
 2  1 341688 2091148 366772 1811772    0    0     0  1172 2446 3784 91  9  0  0  0	
 2  1 341688 2091016 366772 1811876    0    0     0  1572 2481 3992 93  8  0  0  0	
 2  1 341688 2090900 366772 1811960    0    0     0  1318 2472 3977 91  9  0  0  0	
 2  1 341688 2090636 366780 1812064    0    0     0  1262 2468 4026 91  9  0  0  0	
 3  1 341688 2090652 366780 1812144    0    0     0  1232 2460 3928 92  8  0  0  0	
 2  1 341688 2090388 366784 1812220    0    0     0  1228 2456 3892 91  9  0  0  0	
 2  1 341688 2090388 366784 1812328    0    0     0  1552 2485 4021 91  9  0  0  0	
 2  1 341688 2090388 366784 1812416    0    0     0  1160 2443 3792 92  9  0  0  0	
 3  1 341688 2090156 366788 1812508    0    0     0  1216 2461 3880 90 10  0  0  0	
 2  1 341688 2090156 366788 1812592    0    0     0  1184 2444 3826 92  8  0  0  0	
 4  1 341688 2089760 366788 1812680    0    0     0  1250 2474 4025 91  9  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 341688 2089536 366788 1812780    0    0     0  1464 2439 3672 92  8  0  0  0	
 2  1 341688 2089660 366788 1812864    0    0     0  1208 2448 3926 91  9  0  0  0	
 2  1 341688 2089404 366796 1812960    0    0     0  1168 2443 3763 91  9  0  0  0	
 2  1 341688 2089288 366796 1813048    0    0     0  1282 2482 4021 92  8  0  0  0	
 2  1 341656 2087348 366800 1813140   16    0    16  1278 2458 3933 91  9  0  0  0	
 2  1 341652 2087116 366800 1813228    0    0     0  1480 2555 3752 91  9  0  0  0	
 3  1 341632 2087116 366800 1813304   16    0    16  1100 2552 3590 92  8  0  0  0	
 2  1 341632 2087132 366804 1813380    0    0     0  1082 2555 3605 91  9  0  0  0	
 2  1 341632 2087008 366804 1813456    0    0     0  1104 2593 3797 92  9  0  0  0	
 2  1 341632 2086852 366804 1813524    0    0     0  1126 2605 3763 92  8  0  0  0	
 4  1 341632 2086752 366804 1813612    0    0     0  1336 2521 3416 92  8  0  0  0	
 2  1 341632 2086752 366804 1813680    0    0     0   994 2490 3365 92  9  0  0  0	
 2  1 341632 2086620 366808 1813764    0    0     0  1126 2566 3820 91  9  0  0  0	
