
Linux 2.6.32-431.3.1.el6.x86_64 (localhost.localdomain) 	05/02/14 	_x86_64_	(2 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-0              0.00     0.00    0.00  298.67     0.00  2053.33     6.88     0.86    2.89   2.82  84.10
dm-1              0.00     0.00    0.00  298.67     0.00  2053.33     6.88     0.86    2.89   2.82  84.13
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  257.67     0.00  2053.33     7.97     0.86    3.35   3.27  84.20
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    33.00    0.00   85.33     0.00   736.00     8.62     0.30    3.52   3.25  27.73
sdb               0.00    27.00    0.00   67.67     0.00   490.67     7.25     0.17    2.52   2.35  15.93
sdc               0.00    29.33    0.00   77.33     0.00   568.00     7.34     0.23    2.97   2.92  22.60
sdd               0.00    29.67    0.00  102.67     0.00   776.00     7.56     0.41    4.04   3.89  39.97
dm-0              0.00     0.00    0.00  318.67     0.00  2570.67     8.07     0.97    3.04   2.61  83.03
dm-1              0.00     0.00    0.00  318.67     0.00  2570.67     8.07     0.97    3.04   2.61  83.03
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  273.67     0.00  2552.00     9.33     0.96    3.51   3.03  82.80
dm-6              0.00     0.00    0.00    2.33     0.00    18.67     8.00     0.01    3.57   3.57   0.83

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    26.33    0.00   87.67     0.00   560.00     6.39     0.31    3.50   3.41  29.90
sdb               0.00    30.33    0.00  103.67     0.00   720.00     6.95     0.38    3.62   3.60  37.30
sdc               0.00    29.33    0.00   69.67     0.00   442.67     6.35     0.19    2.78   2.69  18.73
sdd               0.00    30.33    0.00   68.33     0.00   437.33     6.40     0.19    2.80   2.80  19.17
dm-0              0.00     0.00    0.00  314.00     0.00  2160.00     6.88     0.87    2.76   2.63  82.53
dm-1              0.00     0.00    0.00  314.00     0.00  2160.00     6.88     0.87    2.76   2.63  82.53
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  271.00     0.00  2160.00     7.97     0.87    3.20   3.05  82.60
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    31.33    0.00   68.33     0.00   440.00     6.44     0.19    2.73   2.61  17.83
sdb               0.00    31.00    0.00   67.67     0.00   432.00     6.38     0.17    2.51   2.51  17.00
sdc               0.00    30.00    0.00  103.33     0.00   706.67     6.84     0.37    3.60   3.54  36.53
sdd               0.00    26.33    0.00   90.67     0.00   581.33     6.41     0.36    3.97   3.86  35.03
dm-0              0.00     0.00    0.00  314.67     0.00  2160.00     6.86     0.88    2.80   2.64  83.13
dm-1              0.00     0.00    0.00  314.67     0.00  2160.00     6.86     0.88    2.80   2.64  83.20
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    6.40   6.40   1.07
dm-5              0.00     0.00    0.00  267.67     0.00  2133.33     7.97     0.86    3.21   3.10  82.90
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    5.50   5.50   1.10

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    29.33    0.00  106.33     0.00   722.67     6.80     0.41    3.87   3.72  39.60
sdb               0.00    30.67    0.00   81.00     0.00   533.33     6.58     0.23    2.83   2.84  22.97
sdc               0.00    27.33    0.00   67.67     0.00   397.33     5.87     0.16    2.41   2.37  16.03
sdd               0.00    31.67    0.00   83.67     0.00   557.33     6.66     0.27    3.24   3.13  26.17
dm-0              0.00     0.00    0.00  321.67     0.00  2210.67     6.87     0.93    2.89   2.64  84.87
dm-1              0.00     0.00    0.00  321.67     0.00  2210.67     6.87     0.93    2.89   2.64  84.90
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  275.67     0.00  2197.33     7.97     0.93    3.36   3.08  85.00
dm-6              0.00     0.00    0.00    1.33     0.00    10.67     8.00     0.01    5.00   1.25   0.17

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    38.67    0.00   85.00     0.00   714.67     8.41     0.23    2.64   2.58  21.93
sdb               0.00    30.00    0.00  104.67     0.00   736.00     7.03     0.32    3.01   2.95  30.87
sdc               0.00    34.33    0.00  116.67     0.00   858.67     7.36     0.40    3.44   3.31  38.57
sdd               0.00    40.33    0.00   91.33     0.00   714.67     7.82     0.26    2.78   2.62  23.90
dm-0              0.00     0.00    0.00  383.67     0.00  3024.00     7.88     1.03    2.67   2.31  88.63
dm-1              0.00     0.00    0.00  383.67     0.00  3024.00     7.88     1.03    2.67   2.31  88.63
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.33     0.00     2.67     8.00     0.00    3.00   3.00   0.10
dm-5              0.00     0.00    0.00  321.33     0.00  2930.67     9.12     0.99    3.07   2.76  88.60
dm-6              0.00     0.00    0.00   11.67     0.00    93.33     8.00     0.04    3.34   0.94   1.10

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    27.67    0.00  107.00     0.00   690.67     6.45     0.44    4.10   4.00  42.77
sdb               0.00    34.00    0.00   77.00     0.00   501.33     6.51     0.20    2.62   2.55  19.60
sdc               0.00    32.00    0.00   75.00     0.00   472.00     6.29     0.18    2.36   2.26  16.97
sdd               0.00    34.33    0.00   98.33     0.00   674.67     6.86     0.33    3.35   3.18  31.30
dm-0              0.00     0.00    0.00  340.33     0.00  2338.67     6.87     0.98    2.90   2.62  89.03
dm-1              0.00     0.00    0.00  340.33     0.00  2338.67     6.87     0.98    2.90   2.62  89.10
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    8.20   8.20   1.37
dm-5              0.00     0.00    0.00  291.33     0.00  2322.67     7.97     0.97    3.34   3.06  89.17
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    34.00    0.00   73.67     0.00   472.00     6.41     0.19    2.57   2.52  18.57
sdb               0.00    35.67    0.00  108.33     0.00   762.67     7.04     0.39    3.62   3.46  37.53
sdc               0.00    33.67    0.00  106.33     0.00   730.67     6.87     0.39    3.69   3.50  37.17
sdd               0.00    30.00    0.00   75.33     0.00   453.33     6.02     0.20    2.63   2.55  19.20
dm-0              0.00     0.00    0.00  351.33     0.00  2421.33     6.89     0.98    2.79   2.53  88.73
dm-1              0.00     0.00    0.00  351.33     0.00  2421.33     6.89     0.98    2.79   2.53  88.73
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  297.67     0.00  2373.33     7.97     0.96    3.23   2.98  88.73
dm-6              0.00     0.00    0.00    6.00     0.00    48.00     8.00     0.02    3.11   2.56   1.53

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    35.00    0.00  107.00     0.00   861.33     8.05     0.34    3.22   3.20  34.23
sdb               0.00    36.33    0.00   80.33     0.00   613.33     7.63     0.20    2.46   2.44  19.57
sdc               0.00    30.67    0.00   84.67     0.00   600.00     7.09     0.23    2.69   2.56  21.67
sdd               0.00    32.00    0.00  114.67     0.00   826.67     7.21     0.40    3.51   3.41  39.10
dm-0              0.00     0.00    0.00  366.67     0.00  2898.67     7.91     0.98    2.68   2.42  88.63
dm-1              0.00     0.00    0.00  366.67     0.00  2898.67     7.91     0.98    2.68   2.42  88.67
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  317.00     0.00  2898.67     9.14     0.99    3.10   2.80  88.73
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    30.67    0.00   85.00     0.00   536.00     6.31     0.26    3.03   2.84  24.10
sdb               0.00    26.67    0.00  109.00     0.00   693.33     6.36     0.42    3.85   3.74  40.73
sdc               0.00    32.00    0.00   95.33     0.00   632.00     6.63     0.29    3.02   2.98  28.37
sdd               0.00    34.67    0.00   76.33     0.00   498.67     6.53     0.22    2.84   2.51  19.17
dm-0              0.00     0.00    0.00  343.67     0.00  2360.00     6.87     0.98    2.85   2.57  88.27
dm-1              0.00     0.00    0.00  343.67     0.00  2360.00     6.87     0.98    2.85   2.57  88.30
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.02   11.20   7.00   1.17
dm-5              0.00     0.00    0.00  288.00     0.00  2298.67     7.98     0.92    3.19   3.07  88.30
dm-6              0.00     0.00    0.00    6.00     0.00    48.00     8.00     0.04    7.28   2.11   1.27

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    30.00    0.00   85.00     0.00   533.33     6.27     0.23    2.67   2.67  22.70
sdb               0.00    34.00    0.00   73.33     0.00   472.00     6.44     0.18    2.52   2.48  18.20
sdc               0.00    33.33    0.00   90.33     0.00   600.00     6.64     0.28    3.11   3.07  27.70
sdd               0.00    30.33    0.00  110.33     0.00   738.67     6.69     0.43    3.89   3.87  42.73
dm-0              0.00     0.00    0.00  341.33     0.00  2344.00     6.87     0.93    2.74   2.58  88.17
dm-1              0.00     0.00    0.00  341.33     0.00  2344.00     6.87     0.93    2.74   2.58  88.23
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  294.00     0.00  2344.00     7.97     0.94    3.19   3.00  88.33
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    35.00    0.00  103.67     0.00   824.00     7.95     0.32    3.12   2.98  30.93
sdb               0.00    34.67    0.00  112.67     0.00   872.00     7.74     0.38    3.38   3.27  36.83
sdc               0.00    33.67    0.00   86.00     0.00   632.00     7.35     0.25    2.85   2.74  23.53
sdd               0.00    30.33    0.00   79.33     0.00   536.00     6.76     0.23    2.89   2.66  21.10
dm-0              0.00     0.00    0.00  363.67     0.00  2864.00     7.88     1.03    2.83   2.44  88.77
dm-1              0.00     0.00    0.00  363.67     0.00  2864.00     7.88     1.03    2.83   2.44  88.77
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  312.33     0.00  2845.33     9.11     1.02    3.26   2.84  88.77
dm-6              0.00     0.00    0.00    2.33     0.00    18.67     8.00     0.01    4.71   4.71   1.10

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    32.67    0.00   76.67     0.00   477.33     6.23     0.19    2.52   2.50  19.20
sdb               0.00    34.67    0.00   75.33     0.00   480.00     6.37     0.20    2.67   2.61  19.63
sdc               0.00    31.00    0.00  105.33     0.00   693.33     6.58     0.37    3.57   3.48  36.70
sdd               0.00    34.33    0.00  110.00     0.00   757.33     6.88     0.39    3.51   3.47  38.20
dm-0              0.00     0.00    0.00  350.67     0.00  2408.00     6.87     0.93    2.66   2.52  88.37
dm-1              0.00     0.00    0.00  350.67     0.00  2408.00     6.87     0.94    2.67   2.52  88.47
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  300.00     0.00  2392.00     7.97     0.93    3.09   2.95  88.50
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    4.17   3.67   0.73

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    33.67    0.00  114.00     0.00   760.00     6.67     0.38    3.37   3.25  37.07
sdb               0.00    30.67    0.00  114.00     0.00   736.00     6.46     0.37    3.23   3.17  36.17
sdc               0.00    35.67    0.00   81.00     0.00   512.00     6.32     0.18    2.17   2.11  17.10
sdd               0.00    38.00    0.00   81.67     0.00   538.67     6.60     0.20    2.45   2.44  19.90
dm-0              0.00     0.00    0.00  371.00     0.00  2546.67     6.86     0.93    2.51   2.38  88.13
dm-1              0.00     0.00    0.00  371.00     0.00  2546.67     6.86     0.93    2.51   2.38  88.13
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    4.60   4.60   0.77
dm-5              0.00     0.00    0.00  318.00     0.00  2536.00     7.97     0.93    2.91   2.77  88.13
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    34.33    0.00   78.33     0.00   496.00     6.33     0.20    2.57   2.44  19.13
sdb               0.00    35.67    0.00   78.00     0.00   504.00     6.46     0.19    2.44   2.44  19.07
sdc               0.00    34.33    0.00  114.00     0.00   781.33     6.85     0.40    3.54   3.37  38.37
sdd               0.00    31.33    0.00  108.33     0.00   709.33     6.55     0.36    3.34   3.28  35.53
dm-0              0.00     0.00    0.00  362.00     0.00  2490.67     6.88     1.05    2.91   2.44  88.27
dm-1              0.00     0.00    0.00  362.00     0.00  2490.67     6.88     1.05    2.91   2.44  88.30
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  308.33     0.00  2458.67     7.97     1.04    3.38   2.86  88.23
dm-6              0.00     0.00    0.00    3.67     0.00    29.33     8.00     0.01    2.91   1.91   0.70

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    30.00    0.00  104.33     0.00   816.00     7.82     0.37    3.56   3.53  36.87
sdb               0.00    34.00    0.00   90.67     0.00   730.67     8.06     0.27    2.99   2.98  27.03
sdc               0.00    31.00    0.00   72.00     0.00   546.67     7.59     0.20    2.73   2.66  19.13
sdd               0.00    30.33    0.00   79.33     0.00   600.00     7.56     0.25    3.21   2.94  23.33
dm-0              0.00     0.00    0.00  335.33     0.00  2693.33     8.03     0.93    2.77   2.50  83.83
dm-1              0.00     0.00    0.00  335.33     0.00  2693.33     8.03     0.93    2.77   2.50  83.90
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.67     0.00     5.33     8.00     0.00    3.00   1.50   0.10
dm-5              0.00     0.00    0.00  283.00     0.00  2624.00     9.27     0.91    3.22   2.96  83.87
dm-6              0.00     0.00    0.00    8.33     0.00    66.67     8.00     0.02    2.00   0.08   0.07

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               2.33    33.33    0.33   69.00    21.33   458.67     6.92     0.22    3.20   3.00  20.80
sdb               0.00    30.67    0.00   86.33     0.00   578.67     6.70     0.33    3.79   3.53  30.47
sdc               0.00    28.33    0.00  101.33     0.00   680.00     6.71     0.40    3.91   3.78  38.33
sdd               0.00    30.33    0.00   76.33     0.00   498.67     6.53     0.24    3.17   2.98  22.77
dm-0              0.00     0.00    2.67  321.67    21.33  2216.00     6.90     0.97    3.00   2.54  82.30
dm-1              0.00     0.00    0.00  321.67     0.00  2216.00     6.89     0.96    2.99   2.56  82.23
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.01    5.00   0.63   0.17
dm-4              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    7.50   7.17   1.43
dm-5              0.00     0.00    0.00  271.33     0.00  2160.00     7.96     0.92    3.41   3.03  82.33
dm-6              0.00     0.00    0.00    5.00     0.00    40.00     8.00     0.02    4.73   3.27   1.63

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               2.33    29.00    0.33   94.67    21.33   760.00     8.22     0.37    3.90   3.78  35.93
sdb               0.00    31.00    0.00   71.00     0.00   568.00     8.00     0.19    2.67   2.68  19.03
sdc               0.00    27.67    0.00   69.67     0.00   498.67     7.16     0.18    2.57   2.51  17.50
sdd               0.00    29.33    0.00   99.00     0.00   752.00     7.60     0.38    3.82   3.43  34.00
dm-0              0.00     0.00    2.67  319.33    21.33  2578.67     8.07     0.98    3.04   2.61  83.93
dm-1              0.00     0.00    0.00  319.33     0.00  2578.67     8.08     0.95    2.96   2.62  83.53
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.03   13.00   1.63   0.43
dm-4              0.00     0.00    0.00    0.67     0.00     5.33     8.00     0.00    3.00   1.50   0.10
dm-5              0.00     0.00    0.00  272.33     0.00  2538.67     9.32     0.89    3.26   3.07  83.67
dm-6              0.00     0.00    0.00    4.33     0.00    34.67     8.00     0.06   13.15   5.00   2.17

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    30.67    0.00   74.00     0.00   496.00     6.70     0.23    3.19   3.16  23.40
sdb               0.00    23.33    0.00   99.00     0.00   640.00     6.46     0.42    4.23   4.22  41.73
sdc               0.00    27.33    0.00   76.00     0.00   488.00     6.42     0.24    3.10   3.08  23.40
sdd               0.00    30.67    0.00   65.33     0.00   429.33     6.57     0.18    2.80   2.74  17.90
dm-0              0.00     0.00    0.00  299.00     0.00  2053.33     6.87     0.87    2.91   2.78  83.00
dm-1              0.00     0.00    0.00  299.00     0.00  2053.33     6.87     0.87    2.91   2.78  83.10
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  257.33     0.00  2050.67     7.97     0.87    3.39   3.23  83.20
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    28.00    0.00   69.67     0.00   418.67     6.01     0.20    2.91   2.75  19.17
sdb               0.00    31.33    0.00   70.33     0.00   448.00     6.37     0.17    2.45   2.39  16.80
sdc               0.00    31.67    0.00   95.00     0.00   653.33     6.88     0.34    3.59   3.48  33.10
sdd               0.00    29.67    0.00  100.67     0.00   680.00     6.75     0.38    3.76   3.64  36.63
dm-0              0.00     0.00    0.00  320.33     0.00  2200.00     6.87     0.89    2.77   2.58  82.73
dm-1              0.00     0.00    0.00  320.33     0.00  2200.00     6.87     0.89    2.77   2.58  82.77
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    8.20   6.80   1.13
dm-5              0.00     0.00    0.00  271.33     0.00  2160.00     7.96     0.86    3.17   3.05  82.83
dm-6              0.00     0.00    0.00    3.33     0.00    26.67     8.00     0.01    4.20   4.20   1.40

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    29.67    0.00  104.00     0.00   853.33     8.21     0.42    4.00   3.85  40.07
sdb               0.00    32.00    0.00   88.67     0.00   685.33     7.73     0.33    3.69   3.38  29.97
sdc               0.00    30.67    0.00   70.33     0.00   517.33     7.36     0.18    2.61   2.56  18.00
sdd               0.00    27.33    0.00   74.00     0.00   530.67     7.17     0.21    2.81   2.81  20.80
dm-0              0.00     0.00    0.00  321.67     0.00  2586.67     8.04     1.02    3.18   2.59  83.23
dm-1              0.00     0.00    0.00  321.67     0.00  2586.67     8.04     1.02    3.18   2.59  83.33
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  278.33     0.00  2586.67     9.29     1.02    3.67   3.00  83.37
dm-6              0.00     0.00    0.00    0.33     0.00     2.67     8.00     0.00    3.00   3.00   0.10

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    32.33    0.00   68.67     0.00   461.33     6.72     0.23    3.26   3.14  21.53
sdb               0.00    27.67    0.00   80.67     0.00   517.33     6.41     0.25    3.08   3.06  24.67
sdc               0.00    24.33    0.00  100.33     0.00   648.00     6.46     0.37    3.73   3.65  36.63
sdd               0.00    30.33    0.00   73.67     0.00   482.67     6.55     0.22    3.05   2.99  22.03
dm-0              0.00     0.00    0.00  307.33     0.00  2112.00     6.87     0.88    2.87   2.72  83.70
dm-1              0.00     0.00    0.00  307.33     0.00  2112.00     6.87     0.88    2.87   2.72  83.70
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  262.67     0.00  2093.33     7.97     0.87    3.31   3.18  83.57
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    5.50   4.83   0.97

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    30.00    0.00  100.33     0.00   669.33     6.67     0.39    3.87   3.61  36.27
sdb               0.00    28.67    0.00   72.33     0.00   437.33     6.05     0.19    2.67   2.57  18.57
sdc               0.00    32.33    0.00   73.33     0.00   474.67     6.47     0.21    2.90   2.90  21.30
sdd               0.00    30.33    0.00   95.33     0.00   637.33     6.69     0.34    3.57   3.56  33.93
dm-0              0.00     0.00    0.00  323.33     0.00  2216.00     6.85     0.91    2.82   2.55  82.30
dm-1              0.00     0.00    0.00  323.33     0.00  2216.00     6.85     0.91    2.82   2.55  82.30
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.02   10.00   9.20   1.53
dm-5              0.00     0.00    0.00  277.00     0.00  2202.67     7.95     0.90    3.23   2.97  82.33
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    26.67    0.00   74.67     0.00   576.00     7.71     0.23    3.15   3.00  22.37
sdb               0.00    28.00    0.00  104.67     0.00   802.67     7.67     0.36    3.45   3.36  35.17
sdc               0.00    29.33    0.00   86.67     0.00   645.33     7.45     0.30    3.43   3.36  29.13
sdd               0.00    29.00    0.00   69.67     0.00   506.67     7.27     0.21    2.93   2.77  19.30
dm-0              0.00     0.00    0.00  315.67     0.00  2530.67     8.02     0.90    2.84   2.64  83.23
dm-1              0.00     0.00    0.00  315.67     0.00  2530.67     8.02     0.90    2.84   2.64  83.27
