
Linux 2.6.32-431.3.1.el6.x86_64 (localhost.localdomain) 	05/02/14 	_x86_64_	(2 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    37.67    0.00   77.33     0.00   520.00     6.72     0.24    3.06   2.95  22.83
sdb               0.00    33.33    0.00   98.33     0.00   650.67     6.62     0.29    2.99   2.97  29.20
sdc               0.00    32.67    0.00  112.67     0.00   757.33     6.72     0.41    3.64   3.49  39.27
sdd               2.33    36.33    0.33   84.67    21.33   568.00     6.93     0.26    3.10   3.05  25.97
dm-0              0.00     0.00    2.67  362.33    21.33  2496.00     6.90     1.08    2.95   2.58  94.00
dm-1              0.00     0.00    0.00  362.33     0.00  2496.00     6.89     1.04    2.87   2.59  94.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.04   14.25   1.88   0.50
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  310.00     0.00  2472.00     7.97     1.02    3.29   3.03  93.97
dm-6              0.00     0.00    0.00    3.33     0.00    26.67     8.00     0.02    5.60   4.20   1.40

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    37.67    0.00   97.33     0.00   864.00     8.88     0.39    3.92   3.82  37.20
sdb               0.00    28.00    0.00   72.33     0.00   565.33     7.82     0.17    2.28   2.29  16.53
sdc               2.33    29.67    0.33   69.67    21.33   506.67     7.54     0.21    3.00   2.86  20.00
sdd               0.00    31.33    0.00   94.67     0.00   720.00     7.61     0.35    3.62   3.55  33.63
dm-0              0.00     0.00    2.67  329.00    21.33  2656.00     8.07     0.95    2.86   2.52  83.57
dm-1              0.00     0.00    0.00  329.00     0.00  2656.00     8.07     0.92    2.79   2.54  83.43
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.03   11.00   1.38   0.37
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  277.67     0.00  2584.00     9.31     0.90    3.21   3.00  83.43
dm-6              0.00     0.00    0.00    9.00     0.00    72.00     8.00     0.03    3.07   0.19   0.17

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    27.00    0.00   76.00     0.00   464.00     6.11     0.25    3.31   3.18  24.20
sdb               0.00    30.00    0.00  103.33     0.00   706.67     6.84     0.39    3.77   3.58  36.97
sdc               0.00    32.00    0.00   84.33     0.00   576.00     6.83     0.27    3.19   3.16  26.67
sdd               0.00    30.67    0.00   69.00     0.00   437.33     6.34     0.20    2.97   2.78  19.17
dm-0              0.00     0.00    0.00  317.67     0.00  2184.00     6.88     0.92    2.91   2.61  83.00
dm-1              0.00     0.00    0.00  317.67     0.00  2184.00     6.88     0.92    2.91   2.61  83.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    3.60   3.60   0.60
dm-5              0.00     0.00    0.00  268.67     0.00  2141.33     7.97     0.91    3.38   3.08  82.87
dm-6              0.00     0.00    0.00    3.67     0.00    29.33     8.00     0.01    3.00   2.45   0.90

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
