
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3 379320 5525376  42600  42688    0    1    25    52   57   25  9  1 90  0  0	
 4  1 376076 5507748  43256  47488  244    0  2716   884 1859 5918 28  8 28 36  0	
 3  1 376052 5506500  43920  47836   16    0   122  1190 1986 6581 58  8  6 27  0	
 4  0 376048 5504848  44456  48248    0    0    96  1378 1894 5963 63  8  1 28  0	
 1  1 376044 5504376  45048  48528    0    0   104  1092 1865 6459 64  8  1 28  0	
 2  2 376012 5503376  45688  49016    0    0   114  1200 1935 6957 63  8  4 25  0	
 1  1 376012 5500368  46376  49248    0    0   134  1256 1986 7148 62  8  5 24  0	
 2  1 376012 5499376  46996  49688    0    0   110  1498 1947 6612 61  8  3 27  0	
 1  1 375948 5497864  47628  49992    0    0   104  1152 1963 6724 62  9  3 26  0	
 1  1 375948 5497252  48332  50352    0    0   108  1252 2028 7066 60  8  7 25  0	
 1  1 375948 5496260  49004  50688    0    0   108  1526 1970 6892 59  9  8 24  0	
 1  1 375948 5495384  49676  51076    0    0   110  1218 1998 7187 63  9  5 24  0	
 1  1 375948 5494516  50284  51600    0    0   104  1120 1902 6681 62  8  4 27  0	
 1  2 375936 5493136  50964  51736    0    0   100  1530 2029 6353 60  9  6 25  0	
 1  1 375928 5492408  51548  52108    0    0   100  1076 1855 6522 64  8  0 28  0	
 1  1 375928 5491168  52212  52468    0    0   110  1202 1958 6903 61  8  6 25  0	
 1  1 375928 5490300  52848  52808    0    0   108  1434 1950 6693 64  9  3 25  0	
 4  2 375928 5489432  53432  53116    0    0   102  1118 1884 6335 65  8  0 28  0	
 1  1 375928 5487928  54048  53460    0    0   100  1224 1945 6504 64  8  3 25  0	
 5  1 375928 5487192  54760  53936    0    0   144  1280 2004 7392 62  8  6 25  0	
 2  1 375928 5486200  55432  54248    0    0   114  1240 1999 7133 62  9  3 26  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1 375928 5482664  56024  54584    0    0   116  1382 1918 6240 64  8  0 27  0	
 1  1 375916 5481680  56648  55008   14    0   134  1190 1898 7113 64  8  3 26  0	
 1  1 375912 5480416  57288  55376    0    0   116  1182 1917 6818 60  9  7 25  0	
 1  1 375912 5479688  57968  55692    0    0   106  1214 1952 6967 59  8  8 26  0	
 5  0 375912 5478696  58600  56084    0    0   104  1488 1920 6751 62  8  5 26  0	
 2  1 375912 5477456  59312  56360    0    0   110  1258 2058 6970 61  9  6 25  0	
 1  1 375912 5476588  59960  56744    0    0   106  1186 1925 7070 61  8  7 25  0	
 1  1 375912 5475216  60568  57108    0    0   104  1118 1913 6728 63  9  2 27  0	
 1  1 375912 5474364  61164  57428    0    0    98  1416 1897 6558 63  7  1 28  0	
 1  1 375912 5473744  61836  57784    0    0   110  1216 1970 6816 60  8  7 26  0	
 1  1 375912 5472372  62500  58136    0    0   104  1190 1985 7016 62  9  4 24  0	
 1  1 375912 5471380  63100  58488    0    0   108  1120 1884 6726 63  8  1 27  0	
 4  1 375912 5470356  63728  58796    0    0   108  1558 1970 6986 64  9  2 26  0	
 1  1 375912 5469428  64356  59156    0    0   108  1156 1913 7015 65  8  1 26  0	
 3  1 375912 5468684  64980  59524    0    0   102  1180 1888 6753 60  8  7 25  0	
 2  1 375908 5467320  65636  59880   16    0   124  1494 1950 6842 60  8  8 24  0	
 4  1 375908 5464528  66284  60184    0    0   124  1176 1951 6425 61  8  4 27  0	
 4  1 375908 5463164  66964  60564    0    0   124  1262 1992 7149 61  8  8 23  0	
 4  0 375908 5462180  67596  61000    0    0   102  1152 1935 6646 61  8  2 29  0	
 1  1 375908 5461436  68172  61356    0    0    96  1400 1859 6564 63  8  0 29  0	
 3  1 375908 5460072  68764  61684    0    0   102  1080 1879 6350 64  9  0 27  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 375908 5459112  69340  62016    0    0   104  1086 1875 6752 65  8  0 27  0	
 4  1 375908 5457832  70084  62452    0    0   114  1338 2119 7337 60  9  5 27  0	
 2  1 375908 5457112  70692  62748    0    0   102  1108 1892 6404 62  8  1 29  0	
 1  1 375908 5456244  71300  63072    0    0   108  1452 1931 6786 65  8  1 26  0	
 4  2 375896 5455012  71948  63468    0    0   108  1178 1950 6805 64  9  1 25  0	
 1  2 375896 5454144  72652  63960    0    0   112  1274 1966 7142 59  8  9 24  0	
 4  0 375888 5453128  73252  64136   16    0   116  1448 1903 6550 61  9  5 26  0	
 1  1 375888 5452516  73860  64512    0    0   102  1112 1894 6773 64  8  1 27  0	
 2  1 375888 5451508  74468  64804    0    0   108  1128 1911 6616 64  8  2 27  0	
 2  2 375884 5450268  75148  65172    0    0   112  1238 1987 7235 61  9  7 24  0	
 5  0 375884 5449276  75780  65544    0    0   102  1498 1922 6754 61  7  6 26  0	
 1  1 375880 5445700  76340  65864   16    0   136  1050 1868 5911 63  8  1 28  0	
 5  0 375880 5444856  76916  66260    0    0   122  1080 1869 6585 62  9  2 27  0	
 1  1 375880 5443864  77500  66592    0    0   100  1438 1886 6643 64  8  0 28  0	
 1  1 375880 5443252  78108  66948    0    0   100  1126 1924 6320 64  9  0 27  0	
 6  0 375880 5442260  78708  67304    0    0   116  1120 1906 6855 66  8  0 26  0	
 5  0 375880 5441112  79292  67632    0    0   106  1086 1912 6311 64 10  0 26  0	
 1  1 375880 5440400  79932  67964    0    0    98  1514 1916 6389 60  8  5 27  0	
 1  1 375880 5439532  80652  68272    0    0   110  1282 2078 7084 59  8 10 23  0	
 4  0 375880 5438292  81260  68688    0    0   108  1124 1929 6480 64  9  0 27  0	
 1  1 375880 5437300  81964  69000    0    0   112  1628 2040 7218 60  9  6 24  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
