
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 375880 5435896  82580  69416    0    0   102  1186 1921 6703 59  8 10 23  0	
 1  2 375868 5435316  83244  69720   10    0   116  1530 1991 6591 61  8  7 25  0	
 5  0 375860 5434200  83876  70124    0    0   100  1176 1906 6703 61  8  4 28  0	
 3  1 375860 5433092  84604  70432    0    0   116  1240 2082 7245 61  8  8 23  0	
 3  1 375860 5432100  85228  70852    0    0   100  1458 1910 6309 62  8  4 27  0	
 1  2 375860 5430696  85868  71192    0    0   110  1170 1942 7084 62  9  5 24  0	
 1  1 375860 5427812  86580  71704    0    0   130  1618 2000 7048 60  8  6 26  0	
 1  1 375860 5426820  87252  71884    0    0   110  1270 1991 6725 62  8  6 25  0	
 1  2 375860 5425580  87972  72304    0    0   116  1260 2047 7457 60  9  8 23  0	
 3  1 375860 5424712  88596  72632    0    0    98  1480 1889 6199 62  8  1 29  0	
 4  0 375860 5423316  89276  72988    0    0   116  1248 1969 7569 62  9 10 20  0	
 5  0 375860 5422472  89908  73400    0    0   112  1172 1899 7243 63  8  5 24  0	
 1  1 375860 5421728  90524  73736    0    0   106  1130 1875 6832 63  8  4 25  0	
 1  1 375860 5420488  91236  74204    0    0   108  1264 2059 6872 62  8  7 23  0	
 3  1 375860 5419372  91948  74440    0    0   108  1526 2046 7050 62  8  5 26  0	
 1  1 375860 5418124  92516  74800    0    0    96  1126 1895 6255 63  9  0 28  0	
 2  1 375860 5417396  93212  75232    0    0   110  1238 2030 7200 62  8  5 26  0	
 5  0 375860 5416404  93796  75404    0    0   116  1254 1986 7642 61  9  8 23  0	
 2  1 375860 5415528  94068  75864    0    0   108  1264 2062 6984 60  9  6 26  0	
 1  1 375860 5415280  94196  76288    0    0   108  1552 1972 6974 60  8  8 25  0	
 1  1 375860 5414016  94560  76748    0    0   112  1276 2093 7225 59  8  9 24  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 375860 5411628  95060  76956    0    0   128  1232 1967 7019 59  8  9 23  0	
 5  0 375860 5410512  95560  77432    0    0   122  1210 1947 6907 62  8  4 27  0	
 1  1 375852 5409528  96052  77824   16    0   136  1280 1984 7284 62  9  6 23  0	
 5  0 375852 5408908  96420  78224    0    0   116  1602 2009 7580 61  8  9 23  0	
 2  1 375852 5408016  96588  78456    0    0   100  1154 1930 6455 58  9  8 26  0	
 1  1 375852 5407420  96932  78908    0    0   108  1110 1911 6698 64  9  0 27  0	
 1  1 375852 5406800  97328  79084    0    0   106  1148 1936 6844 62  9  3 27  0	
 2  2 375852 5405800  97896  79616    0    0   112  1656 2129 7232 60  8  6 26  0	
 6  0 375852 5405164  98276  80032    0    0   108  1288 2114 6952 58  8 12 22  0	
 1  1 375852 5404040  98808  80188    0    0   112  1418 2190 7245 60  8  8 23  0	
 4  1 375852 5403428  99272  80712    0    0   106  1486 1932 7007 64  8  1 26  0	
 3  1 375852 5402916  99632  80884    0    0   102  1120 1895 6648 61  8  4 27  0	
 5  0 375852 5401916  99840  81340    0    0   100  1078 1881 6362 64  9  0 27  0	
 2  1 375852 5401296 100256  81804    0    0   110  1566 2008 7036 60  8  6 27  0	
 1  1 375852 5400024 100772  82024    0    0   112  1182 1997 7095 62 10  6 23  0	
 1  1 375852 5399064 101020  82872    0    0   350  1154 1883 6816 63  9  0 28  0	
 1  1 375852 5396148 101436  83268    0    0   132  1212 1945 6601 63  8  3 27  0	
 1  2 375852 5395528 101804  83636    0    0   118  1534 2028 6841 58  9  6 27  0	
 1  1 375852 5394940 102272  84000    0    0    98  1114 1878 6530 61  8  4 27  0	
 2  1 375852 5393808 102628  84236    0    0   100  1122 1922 6572 61  9  5 26  0	
 1  1 375852 5393336 102844  84672    0    0   100  1088 1836 6291 61  8  2 29  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 375852 5392716 103136  84888    0    0   100  1102 1921 6591 63  9  1 28  0	
 2  1 375852 5392096 103372  85256    0    0   102  1444 1923 6435 63  8  2 27  0	
 1  1 375852 5391600 103648  85716    0    0   116  1270 1996 7215 59  8  8 24  0	
 5  1 375852 5390468 104196  85988    0    0   100  1212 1932 6550 63  8  1 28  0	
 1  1 375852 5389988 104648  86232    0    0   110  1224 1946 7150 61  8  8 23  0	
 6  0 375852 5389368 104940  86644    0    0   102  1076 1858 6305 63  9  1 27  0	
 3  1 375852 5388376 105344  86968    0    0    98  1446 1921 6304 64  8  0 27  0	
 2  2 375852 5387772 105732  87236    0    0   106  1134 1921 6696 63  8  2 27  0	
 1  1 375852 5386276 106304  87684    0    0   114  1210 1985 7331 64 10  2 25  0	
 5  0 375852 5385796 106804  88028    0    0    98  1122 1893 6321 63  9  2 27  0	
 1  1 375852 5385300 107168  88336    0    0   106  1514 1971 6887 61  8  4 26  0	
 5  0 375852 5382500 107644  88832    0    0   118  1118 1909 6142 64  9  0 27  0	
 1  1 375848 5381756 108060  89180   10    0   128  1096 1851 6260 62  7  4 27  0	
 2  1 375848 5380500 108352  89464    0    0   102  1414 1887 6424 62  8  4 26  0	
 4  1 375848 5379904 108676  89736    0    0   106  1116 1869 6721 63  8  3 27  0	
 4  1 375848 5379284 108992  90148    0    0   104  1158 1936 6640 62  8  3 27  0	
 4  0 375848 5378780 109444  90488    0    0   108  1250 2033 6864 61  9  5 26  0	
 4  0 375848 5378036 109824  90944    0    0   104  1458 1947 6906 65  8  0 27  0	
 1  1 375848 5375416 110120  91592    0    0   278  1188 1975 6612 63  9  2 26  0	
 3  1 375848 5374836 110376  91848    0    0   108  1196 1945 7159 61  8  7 24  0	
 4  0 375848 5374224 110968  92260    0    0   106  1200 1965 6883 63  8  2 27  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 375848 5372904 111456  92732    0    0   106  1202 1999 6756 61  9  6 24  0	
 6  0 375848 5372416 111852  93068    0    0   108  1562 2070 6822 59  8  9 24  0	
 1  2 375848 5371268 112308  93220    0    0   108  1142 1932 6676 63  9  2 26  0	
 5  0 375848 5370664 112784  93636    0    0   102  1188 1985 6748 60  8  7 26  0	
 5  1 375848 5369920 113220  94052    0    0   100  1140 1899 6429 62  8  4 26  0	
 7  1 375848 5369060 113832  94348    0    0   106  1560 2034 6792 59  9  6 25  0	
 2  1 375848 5366144 114280  94680    0    0   138  1288 2044 7336 60  9  8 23  0	
 1  1 375848 5364764 114768  95108    0    0   116  1154 1959 6403 65  9  1 25  0	
 2  1 375848 5364532 115168  95612    0    0   116  1316 2059 7268 59  8  7 25  0	
 1  1 375848 5363788 115544  95828    0    0   100  1448 2020 6725 61  8  7 24  0	
 1  1 375848 5363168 115924  96236    0    0   100  1112 1903 6275 61  8  5 26  0	
 1  1 375848 5362176 116488  96536    0    0   100  1094 1886 6226 62  8  2 29  0	
 1  1 375848 5360796 116980  96936    0    0   110  1640 2026 7177 59  9 10 22  0	
 2  1 375848 5360316 117300  97156    0    0   108  1182 1943 6927 64  8  3 25  0	
 1  1 375848 5359820 117680  97740    0    0   106  1332 2122 6901 60  8 12 21  0	
 1  1 375848 5357020 117980  98044    0    0   102  1080 1918 6531 64  9  0 27  0	
 1  1 375848 5356276 118424  98324    0    0   100  1474 1942 6592 62  8  4 27  0	
 3  1 375848 5354772 118984  98588    0    0   104  1182 2003 6893 63  9  3 26  0	
 3  2 375848 5354416 119396  99072    0    0   112  1180 1905 7127 61  7  8 23  0	
 1  1 375848 5353920 119704  99400    0    0   114  1670 2093 7373 61  7  8 24  0	
 1  1 375848 5352936 120292  99720    0    0   108  1254 2082 6884 60  9  9 22  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 375844 5352068 120580 100132   16    0   138  1220 1961 7071 62  9  5 25  0	
 1  1 375828 5351192 121064 100496    0    0   116  1474 1945 6507 64  9  1 27  0	
 1  1 375808 5348160 121524 100756   16    0   138  1280 2095 6969 59  7 10 23  0	
 5  0 375808 5347292 122072 101256    0    0   106  1232 2081 6944 59  8 11 23  0	
 1  1 375808 5346548 122480 101484    0    0   112  1314 2116 7278 60  9 10 22  0	
 1  1 375808 5345688 122956 101828    0    0   112  1672 2173 7222 59  9  8 25  0	
 1  1 375800 5344416 123364 102276    0    0   106  1294 2133 6841 58  9 11 22  0	
 1  1 375800 5343836 123876 102716    0    0   116  1296 2061 7412 60  9  9 23  0	
 3  1 375800 5343084 124252 103104    0    0   106  1542 1984 7017 63  9  4 24  0	
 5  0 375800 5342332 124444 103408    0    0   104  1108 1927 6694 65  9  0 26  0	
 1  1 375800 5341712 124752 103784    0    0   104  1124 1883 6500 64  8  2 26  0	
 2  1 375800 5340804 125168 104004    0    0   108  1130 1939 7040 60  9  8 23  0	
 3  1 375800 5340588 125364 104440    0    0   108  1548 1998 7096 60  9  8 24  0	
 2  1 375800 5339968 125552 104784    0    0   114  1302 2013 7320 60  8  8 24  0	
 5  0 375800 5339472 125800 105240    0    0   104  1228 1999 6643 61  9  3 27  0	
 1  1 375796 5339108 125948 105532    0    0   106  1480 1916 6432 65  8  0 27  0	
 1  1 375764 5337952 126192 105864   16    0   146  1150 1921 6474 64  9  2 26  0	
 1  1 375744 5335564 126420 106444    0    0   124  1250 2024 6814 60  8  8 24  0	
 1  1 375744 5334448 126580 108268    0    0   922  1034 1837 5779 60  8  4 28  0	
 3  1 375744 5333464 126952 108680    0    0   112  1502 2006 6947 62 10  4 24  0	
 5  0 375744 5332844 127124 108964    0    0   102  1064 1848 6287 64  8  0 28  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 375744 5332192 127364 109276    0    0   100  1240 1969 6440 61  9  2 28  0	
 1  1 375744 5332100 127512 109700    0    0   106  1564 2012 6797 60  7  8 25  0	
 1  1 375744 5331232 127812 109988    0    0   108  1114 1882 6784 63  9  3 25  0	
 2  1 375740 5330612 128032 110404   16    0   116  1104 1898 6260 64  9  0 27  0	
 1  1 375740 5330240 128128 110700    0    0   104  1438 1911 6231 63  8  1 28  0	
 1  1 375740 5329472 128372 110948    0    0   102  1200 1952 6819 61  9  4 26  0	
 5  0 375740 5329000 128696 111384    0    0   106  1242 2069 6679 59  9  9 23  0	
 1  1 375740 5328256 129244 111692    0    0   102  1452 1911 6594 64  7  3 26  0	
 2  1 375740 5327272 129564 112012    0    0    92  1016 1865 6095 64  8  0 28  0	
 1  1 375740 5326776 129776 112324    0    0   102  1068 1873 6462 63  9  0 28  0	
 2  1 375740 5326040 130092 112700    0    0    96  1076 1901 6293 64  9  0 28  0	
 4  1 375708 5325684 130336 113188   16    0   134  1532 2024 6679 60  8  8 25  0	
 1  1 375688 5322900 130628 113288   16    0   130  1192 1977 6361 57  9  9 25  0	
 1  1 375684 5322008 130824 113960    0    0   122  1344 2139 7692 61  9  7 23  0	
 1  1 375684 5321768 131128 114252    0    0   102  1102 1891 6172 64  9  1 27  0	
 1  2 375684 5320488 131544 114448    0    0    98  1140 1921 6117 62  9  2 27  0	
 4  1 375684 5320264 131768 114840    0    0   112  1630 2101 7191 59  9  6 26  0	
 1  1 375684 5319768 132040 115124    0    0   102  1168 1913 6604 61  8  4 27  0	
 3  1 375684 5318652 132428 115600    0    0   108  1240 2054 6946 60  9  6 24  0	
 4  1 375684 5318288 132648 115900    0    0   110  1224 2014 7222 63  8  4 25  0	
 1  1 375684 5317164 132916 116216    0    0    98  1452 1911 6461 62  8  2 27  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 375684 5316684 133240 116716    0    0   112  1176 1964 7022 63  9  5 24  0	
 2  1 375684 5316180 133468 116988    0    0   106  1122 1915 6936 64  8  3 25  0	
 1  1 375684 5315568 133600 117348    0    0   112  1220 1969 7295 62  9  6 23  0	
 1  1 375684 5315080 133768 117664    0    0   106  1434 1950 6656 64  9  1 26  0	
 5  0 375680 5314328 133924 118008    0    0   104  1162 1974 6559 64  9  1 26  0	
 1  1 375680 5313840 134240 118344    0    0   104  1138 1898 6439 62  9  4 26  0	
 2  2 375648 5313468 134448 118956   16    0   172  1348 2066 7404 62  9  6 23  0	
 1  1 375628 5309304 134684 119640   16    0   284  1632 2155 6808 58  9 10 23  0	
 2  1 375628 5308932 134736 119912    0    0   102  1108 1902 6591 64  8  1 27  0	
 1  1 375628 5308304 134860 120148    0    0   106  1604 1980 6861 61  9  7 24  0	
 6  0 375628 5308056 135100 120472    0    0    96  1100 1867 6110 61  8  4 28  0	
 5  0 375628 5307436 135268 120848    0    0   112  1202 1948 7245 62  8  6 24  0	
 1  1 375628 5306940 135560 121260    0    0   104  1442 2000 6669 62 10  3 26  0	
 2  1 375628 5306328 135904 121648    0    0   104  1184 1935 6457 61  8  5 26  0	
 1  1 375628 5305072 136068 121908    0    0   106  1174 1948 6577 64  9  2 26  0	
 2  1 375628 5304840 136344 122204    0    0   110  1570 2054 7141 60  8  6 26  0	
 1  1 375628 5304220 136588 122560    0    0   112  1234 1942 7359 60  8  9 23  0	
 1  1 375628 5303220 136864 123072    0    0   110  1222 1982 7119 62  9  6 24  0	
 5  0 375628 5302972 137156 123288    0    0   108  1212 2045 6912 60  9  9 22  0	
 1  1 375628 5302220 137472 123728    0    0   100  1474 1986 6706 61  8  3 27  0	
 1  1 375628 5301600 137684 124208    0    0   122  1422 2175 7804 60  9  7 25  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 375604 5300972 138012 124420   16    0   138  1210 1918 6844 61  8  4 27  0	
 1  1 375588 5300096 138308 124800    0    0   118  1172 1944 6615 63  8  5 24  0	
 1  1 375568 5297428 138552 125100   16    0   124  1408 1892 6055 61  8  2 29  0	
 1  1 375568 5296932 138772 125520    0    0   108  1236 1970 6577 63  8  3 26  0	
 7  0 375568 5296188 139180 125820    0    0   110  1194 2000 7409 63  9  5 24  0	
 1  1 375568 5295568 139344 126268    0    0   116  1298 2014 7512 60  9  8 23  0	
 1  1 373524 5294576 139600 126712   48    0   154  1138 1933 6702 65  9  2 25  0	
 2  1 373524 5294204 139692 127040    0    0   108  1564 1959 7086 62  9  4 26  0	
 2  1 373524 5293460 139880 127252    0    0   100  1088 1923 6367 63  9  1 27  0	
 4  1 373524 5292964 140168 127624    0    0   110  1226 1923 7160 60  7 10 23  0	
 3  1 373524 5292600 140388 128004    0    0   106  1162 1892 6793 64  8  0 28  0	
 1  1 373524 5291732 140624 128412    0    0   112  1244 2074 7032 60  8  8 24  0	
 1  1 373524 5291368 140804 128692    0    0   104  1560 1939 6446 62  8  3 28  0	
 6  0 373524 5290476 140976 129128    0    0   116  1264 2020 7477 62  8  8 22  0	
 1  1 373524 5290252 141160 129432    0    0   108  1544 1963 6778 60  8  7 26  0	
 1  1 373524 5289756 141292 129828    0    0   104  1132 1932 6649 64  9  0 27  0	
 5  0 373488 5289012 141472 130284   16    0   150  1244 2064 6876 61  9  6 24  0	
 4  1 373468 5286468 141732 130644   16    0   128  1368 1893 6257 63  9  1 28  0	
 5  0 373468 5285460 141940 130896    0    0   106  1230 1944 6456 64 10  0 26  0	
 1  1 373468 5285228 142308 131324    0    0   114  1318 2136 7153 59  8 10 23  0	
 1  1 373468 5284608 142536 131628    0    0   106  1478 1883 6778 59  8  8 25  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 373468 5283988 142728 131940    0    0   104  1240 2055 6610 61  8  6 26  0	
 2  1 373468 5283624 142944 132360    0    0   114  1648 2114 6996 60  8  9 23  0	
 5  1 373468 5282732 143184 132812    0    0   106  1198 1998 7172 61  9  4 25  0	
 4  1 373468 5282136 143468 133092    0    0   104  1138 1899 6532 64  8  2 26  0	
 1  1 373468 5281268 143952 133360    0    0   102  1426 1896 6568 63  8  2 27  0	
 2  1 373468 5280400 144328 133672    0    0   110  1330 2134 6978 60  9  9 23  0	
 1  1 373468 5279904 144644 134072    0    0   116  1336 2089 7425 60  8  7 25  0	
 1  1 373468 5278756 145076 134516    0    0   102  1192 2008 6479 60  9  4 27  0	
 2  1 373464 5278532 145196 134944   16    0   120  1542 2032 6561 59  8  8 25  0	
 1  1 373464 5277912 145616 135156    0    0   104  1164 1958 6700 61  8  5 26  0	
 2  1 373460 5277044 145748 135540    0    0   108  1112 1913 6350 64  8  1 27  0	
 4  1 373424 5276548 145832 135876   28    0   162  1252 1956 7500 62  9  5 25  0	
 1  1 373404 5273724 145936 136292    0    0   122  1346 2091 6668 60  8  6 26  0	
 3  1 373404 5273516 146052 136668    0    0   106  1546 1937 6839 61  8  5 26  0	
 2  1 373404 5273020 146472 136980    0    0   102  1164 1958 6216 60  8  4 27  0	
 1  1 373404 5272260 146600 137340    0    0   102  1212 2035 6324 59  8  9 25  0	
 5  0 373400 5271888 146824 137636    0    0   110  1280 2094 7218 59  8  7 26  0	
 1  1 373400 5270896 146980 137984    0    0   108  1282 2075 6655 60  9  7 25  0	
 1  1 373400 5270408 147232 138372    0    0   104  1472 1949 6451 64  8  2 28  0	
 1  1 373400 5270036 147480 138752    0    0   114  1286 2068 7123 61  9  5 25  0	
 1  1 373400 5269292 147568 139168    0    0    96  1072 1918 6566 64  8  0 27  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 373400 5268920 147612 139512    0    0   110  1144 1903 6800 64  8  3 26  0	
 1  1 373400 5268400 147672 139804    0    0    94  1046 1873 6061 63  9  1 28  0	
 1  1 373400 5268176 147732 140140    0    0   102  1472 1911 6432 61  8  7 25  0	
 1  1 373396 5267804 147880 140472    0    0   110  1232 1997 6979 59  8  7 26  0	
 4  0 373396 5267044 148100 140804    0    0   106  1226 1983 6976 60  8  8 24  0	
 1  1 373372 5266548 148328 141228   16    0   146  1330 2076 7734 60  9  9 22  0	
 1  1 373356 5263624 148596 141684   16    0   126  1302 1947 6795 59  8 10 24  0	
 1  1 373344 5263392 148760 142004   16    0   130  1584 2013 6895 59  9  7 25  0	
 1  1 373344 5262896 148892 142348    0    0   108  1190 1955 6544 62  8  3 26  0	
 6  1 373344 5261904 149120 142636    0    0   104  1230 2043 6389 60  9  9 22  0	
 1  1 373344 5261648 149160 143092    0    0   104  1166 1934 6294 62  8  5 25  0	
 1  1 373344 5260880 149356 143304    0    0   110  1214 2007 6969 63  9  2 25  0	
 1  1 373344 5260548 149496 143772    0    0   110  1596 2090 6842 61  9  6 24  0	
 6  0 373344 5260292 149596 144092    0    0   108  1184 1955 6931 62  8  4 26  0	
 1  1 373344 5259308 149784 144516    0    0   110  1274 2125 7089 59  8  8 25  0	
 6  0 373344 5259068 149844 144860    0    0   106  1164 1933 6914 62  8  4 26  0	
 1  1 373344 5258168 150176 145276    0    0   110  1550 2009 7102 61  9  6 24  0	
 6  0 373344 5257936 150316 145544    0    0   100  1232 2083 6321 58  8 13 22  0	
 1  1 373340 5257564 150436 146032    0    0   110  1338 2156 6988 60  8  9 24  0	
 1  1 373340 5256944 150464 146316    0    0   102  1140 1920 6518 60  8  5 27  0	
 6  0 373332 5256440 150644 146528    0    0   104  1446 1929 6598 63  8  2 27  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 373304 5255556 150860 147124   16    0   144  1316 2006 7006 60  9  7 25  0	
 1  1 373280 5252772 151264 147424   16    0   134  1232 1980 6779 61  9  6 25  0	
 1  1 373276 5252408 151632 147816    0    0   102  1458 1940 6481 63  8  2 27  0	
 2  1 373276 5251688 151868 148132    0    0   110  1282 2088 6998 60  9  6 24  0	
 1  1 373276 5251052 152072 148496    0    0   112  1264 2035 7088 61  8  7 25  0	
 1  1 373276 5250168 152232 148868    0    0   104  1608 2155 6784 59  9  9 23  0	
 1  1 373276 5249936 152440 149140    0    0   110  1222 2003 6900 61  8  5 26  0	
 2  1 373276 5249432 152536 149552    0    0   102  1080 1889 6350 65  8  0 27  0	
 1  1 373276 5248952 152604 149940    0    0   106  1212 2017 6747 60  9  8 24  0	
 1  1 373276 5248440 152808 150232    0    0   114  1330 2139 7089 59  8  8 25  0	
 1  1 373276 5247796 152932 150584    0    0   106  1614 2119 6817 59  9  8 25  0	
 1  1 373276 5247440 153092 150960    0    0   110  1290 2056 7090 60  8  7 24  0	
 1  1 373276 5246944 153232 151316    0    0   108  1198 2019 6767 61  8  5 25  0	
 1  1 373276 5246332 153344 151700    0    0   122  1414 2198 7553 59 10  8 23  0	
 4  1 373276 5245952 153448 152116    0    0   110  1260 2053 7027 62  8  5 25  0	
 6  0 373256 5245324 153580 152440    0    0   114  1496 1918 6648 62  9  4 26  0	
 5  0 373240 5242796 153788 152788   16    0   122  1084 1879 6219 63  8  2 28  0	
 5  0 373224 5242332 153932 153196    0    0   122  1156 1936 6798 63  8  3 25  0	
 1  1 373224 5241720 154008 153728    0    0   118  1346 2094 7475 61  9  6 25  0	
 1  1 373220 5241340 154112 153936    0    0   110  1316 2150 7032 59  8  8 25  0	
